Dryer, Matthew S.. 2011. Order of Adposition and Noun Phrase.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 85A.
Available online at http://wals.info/feature/85A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Postpositions	-19.000	21.000	Northern Khoisan	Khoisan	Word Order
krn	Korana	1	Postpositions	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Postpositions	-25.500	18.000	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	Postpositions	-17.500	22.500	Central Khoisan	Khoisan	Word Order
bus	Busa	1	Postpositions	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
man	Mano	1	Postpositions	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	1	Postpositions	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
jel	Jeli	1	Postpositions	9.500	-5.667	Western Mande	Niger-Congo	Word Order
maw	Maninka (Western)	1	Postpositions	13.000	-11.000	Western Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	Postpositions	13.417	-16.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	1	Postpositions	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	Postpositions	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	Postpositions	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	Postpositions	10.000	-13.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	Postpositions	7.833	-11.500	Western Mande	Niger-Congo	Word Order
sme	Seme	1	Postpositions	11.000	-4.917	Kru	Niger-Congo	Word Order
grb	Grebo	1	Postpositions	5.000	-8.000	Kru	Niger-Congo	Word Order
dds	Donno So	1	Postpositions	14.333	-3.583	Dogon	Niger-Congo	Word Order
tou	Toussian	1	Postpositions	11.000	-4.667	Gur	Niger-Congo	Word Order
tny	Tenyer	1	Postpositions	10.667	-4.500	Gur	Niger-Congo	Word Order
sup	Supyire	1	Postpositions	11.500	-5.583	Gur	Niger-Congo	Word Order
dga	Dagaare	1	Postpositions	10.500	-2.667	Gur	Niger-Congo	Word Order
